par1	par2	par3	par4	par5	par6	par7	par8	par9	par10	par11	par12	par13	par14	par15	par16	par17	par18	par19	par20	par21	par22	par23	par24	par25	par26	par27	par28	par29	par30	par31	par32	par33	par34	par35	par36	par37	par38	par39	par40	par41	par42	par43	par44	par45	par46	par47	par48	par49	par50	par51	par52	err53
8.42687914e-04	8.14714393e-01	5.66557774e-04	3.99575810e-01	2.19544093e-04	1.99818940e-04	4.81606860e-01	7.15880679e-05	3.71668990e-03	6.22668559e+01	1.43311836e+00	6.42823317e-04	7.84725536e-02	7.75585325e-05	2.97553505e-03	6.82207067e-03	1.34911148e-02	9.54757028e-03	6.80393799e-03	7.45488539e+02	9.35209540e+00	9.05308997e+01	6.87635658e-01	1.27987683e+00	2.17020653e+00	6.23903530e-01	1.56547634e+06	2.69675909e+02	1.97095508e+00	3.16195909e+00	5.32791874e-01	2.45082822e+00	5.69283848e+04	6.46523109e+01	3.60572104e+04	3.78773678e+04	2.91291900e-02	4.77447047e-03	1.05969694e-01	8.16727396e-03	4.74541312e+00	4.16866490e-01	2.11202048e+00	1.73371649e-01	6.96546811e+00	6.40182357e-01	4.84281264e+01	2.89343171e+01	9.92400733e+01	3.05623606e+01	3.64163216e+01	2.90840514e+00	4.23602471e-01
8.43657099e-04	8.14714393e-01	5.66282163e-04	4.40317513e-01	2.11942511e-04	2.03927100e-04	4.40191973e-01	6.36918482e-05	3.71668990e-03	6.19123562e+01	1.43311836e+00	4.80597159e-04	9.72537147e-02	7.75585325e-05	3.45764942e-03	6.82207067e-03	8.99740126e-03	9.54757028e-03	1.13946276e-02	7.45488539e+02	1.05407355e+01	9.99223213e+01	6.87635658e-01	1.27987683e+00	2.17020653e+00	6.23903530e-01	7.38970688e+05	2.72826296e+02	1.97095508e+00	3.16195909e+00	5.32791874e-01	2.45082822e+00	5.31323402e+04	9.74449624e+01	3.60572104e+04	3.78773678e+04	2.91291900e-02	5.03631384e-03	1.05969694e-01	9.97042214e-03	4.74541312e+00	4.16866490e-01	2.11202048e+00	2.06085563e-01	7.44414621e+00	6.40182357e-01	4.84281264e+01	2.66121196e+01	9.92400733e+01	3.08240755e+01	3.64163216e+01	2.37083318e+00	4.20495849e-01
8.72592947e-04	7.26445179e-01	5.03202322e-04	4.53053488e-01	2.15949610e-04	2.83413632e-04	4.95552318e-01	6.87827486e-05	3.71668990e-03	6.06932748e+01	1.26050110e+00	5.96031322e-04	6.20657554e-02	7.75585325e-05	3.45764942e-03	6.82207067e-03	1.88696725e-02	9.54757028e-03	1.13946276e-02	7.45488539e+02	8.78673454e+00	9.99223213e+01	4.69167519e-01	1.27987683e+00	2.16969101e+00	6.23903530e-01	1.74458791e+06	2.28105765e+02	1.97095508e+00	3.37577988e+00	8.74891761e-01	3.01808567e+00	5.31323402e+04	8.32877828e+01	3.60572104e+04	3.78773678e+04	2.91291900e-02	4.57831015e-03	1.05969694e-01	9.97042214e-03	5.87841948e+00	3.69250117e-01	2.11202048e+00	2.06085563e-01	4.64648630e+00	6.40182357e-01	4.84281264e+01	2.55953702e+01	9.92400733e+01	3.68012142e+01	3.76105017e+01	2.37083318e+00	5.17430700e-01
8.57950733e-04	7.38208696e-01	5.03202322e-04	4.66695474e-01	2.15949610e-04	2.55506315e-04	4.95552318e-01	7.71800432e-05	4.75832184e-03	6.06932748e+01	1.83028533e+00	5.96031322e-04	5.36723949e-02	7.75585325e-05	3.45764942e-03	7.54446720e-03	1.73915661e-02	9.78791276e-03	1.13946276e-02	7.45488539e+02	8.78673454e+00	9.64806277e+01	4.69167519e-01	1.01128567e+00	2.16969101e+00	3.28128158e-01	1.60870500e+06	4.06713705e+02	1.54039122e+00	2.16737022e+00	9.36960368e-01	2.73404662e+00	3.26728986e+04	9.03874290e+01	4.48516344e+04	3.78773678e+04	3.02792957e-02	4.05799052e-03	1.05394115e-01	9.97042214e-03	5.87841948e+00	4.44204510e-01	2.11202048e+00	2.06085563e-01	4.64648630e+00	3.46828590e-01	5.83919635e+01	2.40450048e+01	9.92400733e+01	3.78830666e+01	3.76105017e+01	2.50836113e+00	5.41444129e-01
8.21367021e-04	6.66254168e-01	5.03202322e-04	4.82088718e-01	2.15350994e-04	2.55506315e-04	6.97363785e-01	7.71800432e-05	4.75832184e-03	5.93725605e+01	3.47345262e+00	5.66868617e-04	4.98104466e-02	8.63155211e-05	3.17281516e-03	6.72723844e-03	1.73915661e-02	9.78791276e-03	1.13946276e-02	7.45488539e+02	1.14816372e+01	9.64806277e+01	4.69167519e-01	1.01128567e+00	2.04078020e+00	3.28128158e-01	1.60870500e+06	4.06713705e+02	1.54039122e+00	2.16737022e+00	6.73879989e-01	3.46362068e+00	5.96709110e+04	7.58204978e+01	3.78151371e+04	3.65086291e+04	3.02792957e-02	3.85519404e-03	1.05394115e-01	9.97042214e-03	5.87841948e+00	4.70634715e-01	2.11202048e+00	2.06085563e-01	4.72801755e+00	3.46828590e-01	5.83919635e+01	2.40450048e+01	9.92400733e+01	4.40227092e+01	3.58139684e+01	2.83250442e+00	5.13554860e-01
8.34178820e-04	6.66254168e-01	5.03202322e-04	4.97530587e-01	2.15350994e-04	3.94830609e-04	5.82189937e-01	7.71800432e-05	4.75832184e-03	5.73837585e+01	4.09294015e+00	6.39256136e-04	3.97001908e-02	5.79335839e-05	3.17281516e-03	7.09298623e-03	1.73915661e-02	9.57869732e-03	1.04671455e-02	7.49498667e+02	7.45758458e+00	9.64806277e+01	4.69167519e-01	1.01128567e+00	2.06473932e+00	6.06631897e-01	4.80043985e+05	4.06713705e+02	1.33178798e+00	2.33927940e+00	6.68598589e-01	2.15958780e+00	5.96709110e+04	8.71608649e+01	4.61335299e+04	3.65086291e+04	3.02792957e-02	3.56612315e-03	1.46487151e-01	6.94893365e-03	5.87841948e+00	4.70634715e-01	2.11202048e+00	2.03231674e-01	3.81007502e+00	3.46828590e-01	5.83919635e+01	2.40450048e+01	9.92400733e+01	4.40227092e+01	3.44976371e+01	2.83250442e+00	4.61630685e-01
8.34178820e-04	6.66254168e-01	5.03202322e-04	4.97530587e-01	1.97483106e-04	4.21850796e-04	6.09853726e-01	7.71800432e-05	5.12639458e-03	6.09490681e+01	3.13796264e+00	6.39256136e-04	3.83280297e-02	5.79335839e-05	3.02948349e-03	7.23575823e-03	1.73915661e-02	9.57869732e-03	7.04948448e-03	7.49498667e+02	7.45758458e+00	9.64806277e+01	4.69167519e-01	9.41796786e-01	2.43990372e+00	2.96043942e-01	6.30400175e+05	4.06713705e+02	1.33178798e+00	3.31212626e+00	7.21991517e-01	1.81520597e+00	5.96709110e+04	8.71608649e+01	4.61335299e+04	3.65086291e+04	3.02792957e-02	3.56612315e-03	1.46487151e-01	6.36278629e-03	5.87841948e+00	5.76647518e-01	2.11202048e+00	2.09890697e-01	3.81007502e+00	3.46828590e-01	5.83919635e+01	2.07069354e+01	9.92400733e+01	4.40227092e+01	3.44976371e+01	2.84167760e+00	3.76875659e-01
8.62742140e-04	6.14423932e-01	5.03202322e-04	4.97530587e-01	1.90243154e-04	4.88231745e-04	4.71841836e-01	7.71800432e-05	5.12639458e-03	5.80430819e+01	3.13796264e+00	2.45558058e-04	3.83280297e-02	6.73171285e-05	3.02948349e-03	6.98543411e-03	9.23612141e-03	9.63819691e-03	6.73897559e-03	7.49498667e+02	7.45758458e+00	8.50042432e+01	5.98342262e-01	1.00143688e+00	2.43990372e+00	4.74563678e-01	6.30400175e+05	2.45070918e+02	1.33178798e+00	4.02395803e+00	9.29277655e-01	2.78081373e+00	5.96709110e+04	8.71608649e+01	4.69432911e+04	3.65086291e+04	3.02792957e-02	3.80645903e-03	1.46487151e-01	5.17944199e-03	5.87841948e+00	5.76647518e-01	2.46820796e+00	1.94428585e-01	3.81575769e+00	5.13077945e-01	5.83919635e+01	2.67584548e+01	8.59651717e+01	4.40227092e+01	3.44976371e+01	2.84167760e+00	4.02735298e-01
8.21753064e-04	6.14423932e-01	4.86219866e-04	4.97530587e-01	1.90243154e-04	3.81538759e-04	6.44574035e-01	8.79933293e-05	4.41247193e-03	5.80430819e+01	3.91468838e+00	3.44963886e-04	4.78366012e-02	6.45515051e-05	3.02948349e-03	8.32630921e-03	9.23612141e-03	9.63819691e-03	6.73897559e-03	9.75876183e+02	7.45758458e+00	8.81776864e+01	5.98342262e-01	1.00143688e+00	2.87180865e+00	4.27155858e-01	6.30400175e+05	2.45070918e+02	1.77058314e+00	5.15252600e+00	6.78053164e-01	2.78081373e+00	3.66015060e+04	5.36917758e+01	4.69432911e+04	5.45918170e+04	1.98397846e-02	3.34239193e-03	1.46487151e-01	8.36102526e-03	1.30784337e+01	3.03786172e-01	2.73953594e+00	1.94428585e-01	6.49303178e+00	5.13077945e-01	2.66808561e+01	1.66525487e+01	8.59651717e+01	4.54845667e+01	3.99752776e+01	2.84167760e+00	4.02750623e-01
7.66362319e-04	6.14423932e-01	4.86219866e-04	4.42269678e-01	1.82202632e-04	3.24295449e-04	7.06033651e-01	8.79933293e-05	4.41247193e-03	5.78189517e+01	3.85317754e+00	2.70746188e-04	5.68717112e-02	6.45515051e-05	3.23110250e-03	9.23558244e-03	1.30931889e-02	9.63819691e-03	6.33389533e-03	7.18990793e+02	7.45758458e+00	9.88380460e+01	5.35153137e-01	1.05221121e+00	1.89307426e+00	4.27155858e-01	6.30400175e+05	3.26810712e+02	2.43047081e+00	3.84507525e+00	6.78053164e-01	2.95760188e+00	2.82427300e+04	7.04425785e+01	4.90385356e+04	5.45918170e+04	1.86929277e-02	3.34239193e-03	1.46487151e-01	8.36102526e-03	8.20954594e+00	5.05377187e-01	3.39602574e+00	1.94428585e-01	2.61577238e+00	6.04219202e-01	5.68810664e+01	3.31377917e+01	8.59651717e+01	4.54845667e+01	4.91792148e+01	2.94917646e+00	4.18605177e-01
